word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
depreciation	0	0	0	0.359	0	0	0	0
rewarding	0	0	0	0	0.742	0	0	0
originality	0	0	0	0	0	0	0.422	0
terbang	0	0	0	0	0	0	0	0.281
intolerable	0.609	0	0	0	0	0	0	0
atrocity	0.814	0	0.734	0.672	0	0.859	0	0
pay	0	0.461	0	0	0.242	0	0	0.430
reverence	0	0	0	0	0.424	0	0	0.703
hadenough	0.546	0	0	0	0	0	0	0
ceremony	0	0	0	0	0.455	0	0.297	0
accomplished	0	0	0	0	0.672	0	0	0
sicken	0	0	0.734	0	0	0	0	0
dart	0	0	0	0.359	0	0	0	0
sixty	0	0	0	0	0.016	0	0	0
needtoknow	0	0	0	0.173	0	0	0	0
fussy	0.357	0	0.227	0	0	0	0	0
jaws	0	0	0	0.469	0	0	0	0
immaculate	0	0	0	0	0.409	0	0	0.570
kind	0	0	0	0	0.621	0	0	0.641
peaceful	0	0.422	0	0	0.636	0	0.086	0.648
immature	0	0.320	0	0	0	0	0	0
silence	0	0	0	0	0.127	0	0	0
betrothed	0	0.531	0	0	0.485	0	0	0.555
skid	0.250	0	0	0.266	0	0.312	0	0
successful	0	0.469	0	0	0.606	0	0	0.648
choir	0	0	0	0	0.391	0	0	0.414
screech	0	0	0	0.406	0	0	0.641	0
respon	0	0	0	0	0	0	0	0.320
disability	0	0	0	0	0	0.648	0	0
frailty	0	0	0	0	0	0.484	0	0
dramaqueen	0.312	0	0	0	0	0	0	0
aspire	0	0.719	0	0	0.516	0	0	0.492
infuriate	0.844	0	0	0	0	0	0	0
snakes	0	0	0	0.802	0	0	0	0
dollhouse	0	0	0	0	0.182	0	0	0
angermanagement	0.469	0	0	0	0	0	0	0
convince	0	0.367	0	0	0	0	0	0.586
postponement	0	0	0	0	0	0	0.352	0
thoughtful	0	0	0	0	0	0	0	0.617
civilized	0	0	0	0	0.169	0	0	0.625
beast	0.562	0	0	0.734	0	0	0	0
vulnerable	0	0	0	0	0	0	0	0.359
naman	0	0	0	0	0	0	0	0.234
broil	0.516	0	0	0	0	0	0	0
prescient	0	0.648	0	0	0	0	0	0
grime	0	0	0.703	0	0	0	0	0
uninteresting	0	0	0	0	0	0.234	0	0
dangit	0.394	0	0	0	0	0	0	0
pake	0	0	0	0	0	0	0	0.305
imissyou	0	0	0	0	0	0.547	0	0
ambition	0	0.617	0	0	0.578	0	0	0.586
detract	0.242	0	0	0	0	0	0	0
convinced	0	0	0	0	0	0	0	0.578
start	0	0.750	0	0	0	0	0.344	0
surprises	0	0	0	0	0.606	0	0	0
detest	0.838	0	0.680	0	0	0	0	0
dealings	0	0	0	0	0	0	0	0.422
tighten	0.328	0	0	0	0	0	0	0
foray	0.279	0	0	0	0	0	0	0
hypocrite	0	0	0.578	0	0	0	0	0
blood	0	0	0	0.525	0	0	0	0
store	0	0.352	0	0	0	0	0	0
camouflage	0	0	0	0	0	0	0.492	0
rapture	0	0.711	0	0	0.485	0	0	0
radiant	0	0	0	0	0.781	0	0	0
liberate	0.172	0.695	0	0	0.485	0	0.523	0.523
stable	0	0	0	0	0	0	0	0.750
raindrops	0	0	0	0	0.212	0	0	0
smile	0	0	0	0	0.750	0	0.117	0.578
constantly	0	0	0	0	0	0	0	0.617
perplexity	0	0	0	0	0	0.453	0	0
misleading	0.344	0	0.321	0	0	0	0	0
wildfire	0	0	0	0.641	0	0.406	0.641	0
disappointed	0.348	0	0.328	0	0	0.636	0	0
deceive	0.547	0	0.461	0	0	0.562	0	0
incubus	0	0	0.586	0.562	0	0	0	0
bugaboo	0.273	0	0	0.328	0	0.304	0	0
sinking	0	0	0	0.469	0	0	0	0
savor	0	0.375	0.117	0	0.531	0.034	0	0.508
faculty	0	0	0	0	0	0	0	0.383
extermination	0.824	0	0	0.797	0	0	0	0
fade	0	0	0	0	0	0	0	0.359
goodday	0	0	0	0	0.734	0	0	0
grating	0.561	0	0.469	0	0	0	0	0
splendor	0	0.555	0	0	0.788	0	0.438	0
insurmountable	0	0	0	0.609	0	0.625	0	0
terrific	0	0	0	0	0	0.125	0	0
consult	0	0	0	0	0	0	0	0.570
happyday	0	0	0	0	0.809	0	0	0
smiles	0	0	0	0	0.766	0	0	0
awestruck	0	0	0	0	0	0	0.797	0
durable	0	0	0	0	0	0	0	0.547
bodyguard	0	0	0	0	0	0	0	0.695
soslow	0.398	0	0	0	0	0	0	0
storming	0.594	0	0	0	0	0	0	0
guide	0	0	0	0	0	0	0	0.570
tripping	0.250	0	0	0	0	0.429	0	0
politic	0	0	0.266	0	0	0	0	0
defunct	0	0	0	0	0	0.518	0	0
fanfare	0	0.562	0	0	0.594	0	0.484	0
conceal	0	0	0	0	0	0.311	0	0
renovate	0	0.453	0	0	0	0	0	0
spoiler	0	0	0	0	0	0.348	0	0
champion	0	0.562	0	0	0.641	0	0	0.641
softly	0	0	0	0	0.297	0	0	0
excitement	0	0.820	0	0	0.922	0	0.734	0
sonice	0	0	0	0	0.455	0	0	0
mutable	0	0.344	0	0	0	0	0	0
youll	0	0	0	0	0	0	0	0.328
dream	0	0	0	0	0.484	0	0	0
praisejesus	0	0	0	0	0.691	0	0	0
discontent	0.424	0	0.336	0.234	0	0.543	0	0
coldsweat	0	0	0	0.438	0	0	0	0
correctness	0	0	0	0	0	0	0	0.523
bestial	0	0	0.680	0.639	0	0	0	0
nothappy	0.412	0	0	0	0	0	0	0
income	0	0.500	0	0	0.403	0.100	0	0.484
heal	0	0	0	0	0.406	0	0	0.609
thaumaturgy	0	0	0	0	0	0	0.555	0
corrosive	0	0	0	0.636	0	0	0	0
pocketbac	0	0	0	0	0	0	0	0.352
unprepared	0	0	0	0.438	0	0	0	0
picnic	0	0.602	0	0	0.394	0	0.078	0.375
powerless	0.203	0	0.367	0.562	0	0.641	0	0
contingent	0	0.539	0	0	0	0	0	0
latent	0.266	0.273	0.305	0	0	0	0.156	0
tease	0.258	0.570	0	0	0	0.188	0	0
hut	0	0	0	0	0	0.078	0	0
sheriff	0	0	0	0	0	0	0	0.492
grump	0.515	0	0	0	0	0	0	0
yucky	0	0	0	0	0	0.203	0	0
grandchildren	0	0.539	0	0	0.540	0	0	0.492
general	0	0	0	0	0	0	0	0.375
whatsthepoint	0.394	0	0	0	0	0	0	0
intolerance	0.469	0	0.523	0.516	0	0	0	0
lunge	0	0	0	0	0	0	0.539	0
