word	weight	happy	funny	sad	lovely	exciting	angry	scary
swig	13.323460189857945	0.12930043041706085	0.1620517373085022	0.10410289466381073	0.10774192959070206	0.006692623719573021	0.11484814435243607	0.08391816914081562
brute	8.631238945127873	0.0075721703469752155	0.14896109700202942	0.08375201374292363	0.13826191425323486	-0.04991529136896111	0.13252446055412292	0.19342991709709167
wart	11.793271649077987	0.02381180226802837	0.1441172957420349	0.07168516516685475	0.16251042485237122	-0.00608579069376014	0.043337494134902954	0.13343501091003418
slay	8.727378801187735	0.07079474627971638	-0.018057163804769516	0.05763079226016998	0.00971621647477161	0.00788206048309803	0.10219897329807281	0.16679109632968903
olfactory	12.630313009298	-0.006643148139119148	0.025233449414372444	0.021587099879979976	0.13895092904567719	0.06225963681936264	0.0008185654878616333	0.08760578185319912
pneumonia	11.391248885160794	0.048666007816791645	0.058867111802101246	0.08026920258998882	0.08210872113704681	-0.004438325762748718	0.022303402423858643	0.09026092290878296
swerve	11.089867968350852	0.056512121111154556	0.23661720752716064	0.1445547342300415	0.1414763629436493	0.08717547357082356	0.12060946226119995	0.2066892832517624
sluggish	10.208887239089435	0.16324147582054138	0.07044952362775792	0.10719171166419983	0.04640622437000275	0.10474294424057007	0.20636646449565887	0.15588292479515076
uncover	11.232184190531108	-0.04745552688837029	0.05645501986145962	0.045892905443906784	-0.010017840191722138	0.09594561904668797	-0.016096569597720878	0.06469163298606884
reverend	9.661120290978621	0.07489341497421265	0.21394753456115723	0.16196024417877197	0.222975492477417	-0.07979362457990646	0.1777586042881012	0.13021999597549438
stillness	8.805301380859484	0.034658528864383586	0.17184950411319733	0.16372689604759216	0.34811967611312866	0.06589210778474797	0.058154910802841187	0.1795443296432495
thrilling	9.44632444343024	0.263523668050766	0.3150642514228821	0.27767953276634216	0.3444930911064148	0.5734062790870667	0.13537780940532684	0.37752458453178406
bridegroom	9.332714028300272	0.10186172276735306	0.04116155207157135	0.09352152049541484	0.16204053163528442	-0.02074513956904389	0.1068648248910904	0.0645834356546402
official	7.424998961595721	0.10751545429229736	0.029367823153734207	0.13455618917942047	-0.02175881713628769	0.04904042184352875	0.1653321385383606	0.044435419142246246
errand	8.69104548176329	0.07057060301303864	0.12671005725860596	0.08192003518342961	0.18024364113807678	0.062042746692896	0.09254273772239685	0.12467041611671448
subordinate	9.491718015690603	-0.006758207455277443	0.04225150868296623	0.029348177835345157	0.028318732976913563	-0.13543710112571716	0.09350576996803284	-0.013141103088855521
conflagration	10.389096862680248	-0.023238379508257134	0.06179315224289883	0.08081995695829403	0.04645541682839405	0.01901489123702038	0.06383444368839264	0.15353116393089294
trembling	7.648175176103415	0.09025699645280838	0.14766767621040344	0.2194395214319229	0.22004972398281097	-0.037282876670360565	0.27862560749053955	0.2659670412540436
uninterested	11.868172957251105	0.2386731207370758	0.19237051904201508	0.1873786747455597	0.06674708425998677	0.09570208191871643	0.3163059949874878	0.10950954258441925
admit	7.522637431159637	0.20989537239074707	0.2414488047361374	0.22557424008846283	0.10987395793199539	0.051658835262060165	0.23205646872520447	0.21023544669151306
beauty	6.586323783410374	0.03409338742494583	0.14389677345752716	0.16001129150390625	0.4173862934112549	0.1391541063785553	-0.021130044013261795	0.1438613384962082
melodrama	11.292808812347541	-0.02530616708099842	0.3128018379211426	0.19553184509277344	0.21933488547801971	0.0006115473806858063	0.06909106671810161	0.1885344535112381
pharmacy	13.423543648414928	-0.006096193566918373	0.013113981112837791	0.059068016707897186	-0.005914762616157532	-0.022941209375858307	0.08977682888507843	0.0502079874277116
